"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"LGALS1",2.52045595411699e-97,0.41380980478189,0.506,0.283,4.91035228981072e-93,"3","LGALS1",0.223
"CCL41",1.63059057893104e-95,0.439374634585028,0.567,0.336,3.17671656587344e-91,"3","CCL4",0.231
"C12orf75",2.89078185841201e-95,0.289615509399307,0.386,0.186,5.63182121655828e-91,"3","C12orf75",0.2
"RUNX3",2.08774047156406e-87,0.396711468896468,0.673,0.492,4.06733598670111e-83,"3","RUNX3",0.181
"EFHD2",4.46453501555842e-78,0.361462266603856,0.432,0.259,8.69780711731091e-74,"3","EFHD2",0.173
"AHI1",4.98348248719281e-78,0.293089534115319,0.318,0.149,9.70882058154903e-74,"3","AHI1",0.169
"LDLRAD4",2.72303916260609e-77,0.411641393447809,0.316,0.157,5.30502489658918e-73,"3","LDLRAD4",0.159
"BHLHE40",5.65437897831078e-77,0.291124625503329,0.388,0.207,1.10158611255451e-72,"3","BHLHE40",0.181
"IL2RB",4.29222408301469e-76,0.285014398602726,0.502,0.308,8.36211095852921e-72,"3","IL2RB",0.194
"SH3BGRL31",1.03206228855641e-71,0.256647034793179,0.93,0.821,2.01066375056559e-67,"3","SH3BGRL3",0.109
"SAMSN1",2.63125581016184e-68,0.390572281026215,0.56,0.398,5.1262125693573e-64,"3","SAMSN1",0.162
"NEAT1",1.97577963932052e-63,0.381815741704839,0.944,0.913,3.84921389332424e-59,"3","NEAT1",0.0309999999999999
"SAMD31",2.04184361553285e-62,0.276900750728622,0.48,0.308,3.97791973178109e-58,"3","SAMD3",0.172
"CD521",5.90820756725787e-62,0.304488966718345,0.856,0.76,1.15103699825318e-57,"3","CD52",0.096
"ITGA1",1.45883085432255e-61,0.260317651922335,0.292,0.144,2.8420942703912e-57,"3","ITGA1",0.148
"LINC01871",9.2587703976888e-61,0.30329166288755,0.412,0.246,1.80379364887773e-56,"3","LINC01871",0.166
"CD7",6.82690763878366e-58,0.281078093116567,0.567,0.405,1.33001814618783e-53,"3","CD7",0.162
"VPS37B",5.7762090202142e-57,0.293348212313142,0.408,0.253,1.12532104131813e-52,"3","VPS37B",0.155
"CST71",1.5143376112531e-56,0.30585735619364,0.564,0.408,2.95023253424329e-52,"3","CST7",0.156
"HLA-DRA1",1.67602237427697e-55,0.315471503852746,0.345,0.196,3.2652267895664e-51,"3","HLA-DRA",0.149
"TNFAIP3",1.55460663863848e-49,0.430903935302405,0.691,0.587,3.02868465339548e-45,"3","TNFAIP3",0.104
"CD247",7.54431569323281e-49,0.292567315304514,0.5,0.363,1.46978358335562e-44,"3","CD247",0.137
"PTPN22",2.4554975868529e-48,0.274557701145606,0.504,0.355,4.78380039870681e-44,"3","PTPN22",0.149
"HLA-DRB11",3.07711235003477e-47,0.276399394226283,0.434,0.285,5.99483028033775e-43,"3","HLA-DRB1",0.149
"CLEC2B",1.8431338397706e-45,0.26171186820829,0.505,0.364,3.59079334664109e-41,"3","CLEC2B",0.141
"PLEK1",6.01364337460319e-43,0.28580386174149,0.306,0.182,1.17157800224019e-38,"3","PLEK",0.124
"RBPJ",1.58229096829951e-39,0.300753560401343,0.493,0.363,3.0826192644411e-35,"3","RBPJ",0.13
"REL",2.5446098171455e-34,0.309174714256896,0.673,0.581,4.95740884576286e-30,"3","REL",0.0920000000000001
"CD741",6.17936209304303e-33,0.324862317396558,0.636,0.544,1.20386332296664e-28,"3","CD74",0.092
"HSPA6",0,2.29156955813351,0.687,0.124,0,"4","HSPA6",0.563
"FCER1G",0,0.942439086134836,0.495,0.041,0,"4","FCER1G",0.454
"KLRF1",0,0.841905112663314,0.502,0.064,0,"4","KLRF1",0.438
"CD160",3.50313440469741e-296,0.759559199273555,0.533,0.092,6.82480644723149e-292,"4","CD160",0.441
"TYROBP1",1.12176304684423e-295,0.894105145649367,0.575,0.109,2.18541876786193e-291,"4","TYROBP",0.466
"XCL1",9.49598697781269e-219,0.674081513779167,0.418,0.072,1.85000818301747e-214,"4","XCL1",0.346
"SPRY2",1.69789093922601e-182,0.320951959977075,0.262,0.032,3.30783112780011e-178,"4","SPRY2",0.23
"XCL21",1.01531754246912e-167,0.742607556433679,0.557,0.161,1.97804163623833e-163,"4","XCL2",0.396
"LAT2",1.39428461252384e-165,0.298367504376309,0.287,0.043,2.71634528211895e-161,"4","LAT2",0.244
"CEBPD",3.6442351031882e-162,0.446008432171568,0.376,0.075,7.09969882803125e-158,"4","CEBPD",0.301
"TXK",1.1904012996071e-148,0.454893157645437,0.419,0.102,2.31913981189455e-144,"4","TXK",0.317
"KLRD12",1.96397823178784e-137,0.71672302071732,0.627,0.224,3.82622239116908e-133,"4","KLRD1",0.403
"TRDC2",3.12326620602964e-137,0.561276853238619,0.496,0.138,6.08474722258694e-133,"4","TRDC",0.358
"KLRB11",1.48461155591097e-129,0.737703326800364,0.77,0.377,2.89232023322576e-125,"4","KLRB1",0.393
"NCAM1",7.35985708753671e-126,0.267861665561538,0.282,0.053,1.4338473577939e-121,"4","NCAM1",0.229
"KLRC11",2.81000297783918e-119,0.487495495249318,0.394,0.102,5.4744478014263e-115,"4","KLRC1",0.292
"CMC11",3.58918800553442e-115,0.76892960099671,0.585,0.24,6.99245607238217e-111,"4","CMC1",0.345
"CLIC3",3.99287501180327e-115,0.381789152071781,0.346,0.085,7.77891909799513e-111,"4","CLIC3",0.261
"NKG72",1.96102124010714e-104,0.689022892504174,0.821,0.462,3.82046157997673e-100,"4","NKG7",0.359
"IL2RB1",6.04393946708979e-102,0.801841731028988,0.622,0.319,1.17748028697843e-97,"4","IL2RB",0.303
"DNAJB11",4.54472933404292e-98,0.998001452524019,0.908,0.824,8.85404168858242e-94,"4","DNAJB1",0.0840000000000001
"MATK",9.71093420609711e-96,0.325855843327441,0.441,0.148,1.89188420203184e-91,"4","MATK",0.293
"IFITM3",9.42381311288924e-95,0.258296351904276,0.281,0.066,1.83594727065308e-90,"4","IFITM3",0.215
"CCL31",1.71396932522518e-93,0.578412492567058,0.354,0.101,3.33915503940369e-89,"4","CCL3",0.253
"GSTP1",3.94285853406761e-88,0.562180511887299,0.614,0.319,7.68147699607051e-84,"4","GSTP1",0.295
"HSPE1",1.59965409036251e-85,0.717930381928809,0.902,0.741,3.11644609884425e-81,"4","HSPE1",0.161
"HSPA1A1",1.30873194052187e-84,1.17895781318689,0.847,0.725,2.54967156652471e-80,"4","HSPA1A",0.122
"HSPA1B1",3.57009154004489e-84,0.943607110962506,0.856,0.725,6.95525233831546e-80,"4","HSPA1B",0.131
"CD71",5.22356653503732e-83,0.570077717780817,0.706,0.412,1.01765523235597e-78,"4","CD7",0.294
"MCTP2",6.62002607521498e-83,0.275355208538677,0.329,0.097,1.28971347997338e-78,"4","MCTP2",0.232
"HSP90AB11",1.58108347812677e-82,0.732754230871238,0.984,0.929,3.08026683208658e-78,"4","HSP90AB1",0.0549999999999999
"PTGDR",1.05570715357291e-76,0.277809519887947,0.344,0.11,2.05672867659074e-72,"4","PTGDR",0.234
"UBB1",1.32808358126065e-74,0.523012917638334,0.971,0.901,2.587372433012e-70,"4","UBB",0.07
"HSP90AA11",1.22171965420671e-73,0.752373157516319,0.997,0.992,2.38015423032551e-69,"4","HSP90AA1",0.005
