"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"NHSL21",5.34592507820957e-09,1.15464610657107,0.049,0.025,0.000104149312373679,"3","NHSL2",0.024
"PRDX5",5.68303861838979e-09,0.523448139667289,0.294,0.24,0.00011071695836347,"3","PRDX5",0.054
"STYK11",5.69734491618059e-09,1.34277570339097,0.039,0.018,0.00011099567365703,"3","STYK1",0.021
"ENC11",6.28492347338264e-09,0.781217807004757,0.056,0.029,0.000122442879108441,"3","ENC1",0.027
"MAN1A12",6.44765457139264e-09,0.634457511410211,0.164,0.118,0.000125613206359871,"3","MAN1A1",0.046
"CCR11",6.48540647533979e-09,1.05172692138758,0.05,0.025,0.00012634868895257,"3","CCR1",0.025
"AC027290.1",6.51575578397095e-09,1.41013097119273,0.027,0.011,0.000126939954183322,"3","AC027290.1",0.016
"HSP90B11",6.8396935192829e-09,0.297471290518053,0.615,0.581,0.000133250909142669,"3","HSP90B1",0.034
"ZNHIT11",7.3976391517603e-09,0.463623041986405,0.297,0.241,0.000144120805954594,"3","ZNHIT1",0.056
"NR5A2",7.89850056448687e-09,1.9601596818045,0.013,0.003,0.000153878587997333,"3","NR5A2",0.01
"RABAC11",8.12936973865296e-09,0.414925489146805,0.333,0.274,0.000158376381248437,"3","RABAC1",0.059
"ETS11",8.51570588589887e-09,0.212962694270955,0.735,0.702,0.000165902982069082,"3","ETS1",0.033
"PRKCH1",9.90918828779597e-09,0.357024659129249,0.413,0.357,0.000193050806222841,"3","PRKCH",0.056
"DBN1",1.01153647805556e-08,1.38230406757761,0.032,0.014,0.000197067536654785,"3","DBN1",0.018
"CALD1",1.04763003251121e-08,1.41791003345175,0.025,0.01,0.000204099282933835,"3","CALD1",0.015
"NDUFB71",1.22494411288366e-08,0.489143740688197,0.268,0.215,0.000238643612071995,"3","NDUFB7",0.053
"GSE11",1.36555428555134e-08,0.574406331582755,0.145,0.101,0.000266037285911113,"3","GSE1",0.044
"SOX13",1.38690758972669e-08,1.93887876171733,0.013,0.003,0.000270197336630554,"3","SOX13",0.01
"PDE4B",1.41421971488282e-08,0.423889185496242,0.377,0.328,0.00027551828485347,"3","PDE4B",0.049
"RPL37A1",1.44544358423809e-08,0.137634434736883,1,0.998,0.000281601319081264,"3","RPL37A",0.002
"ZNF3651",1.57806798224093e-08,1.66470379827833,0.019,0.006,0.000307439204300178,"3","ZNF365",0.013
"PAIP2",1.64914085468033e-08,0.373206728601884,0.426,0.376,0.000321285621308821,"3","PAIP2",0.05
"NDUFS62",1.78810146988632e-08,0.388677372225218,0.309,0.253,0.000348357928363253,"3","NDUFS6",0.056
"KRT7",1.85786423976363e-08,1.57724095702799,0.019,0.006,0.000361949111190751,"3","KRT7",0.013
"BLOC1S11",1.88139442211363e-08,0.408921016376063,0.294,0.237,0.000366533261316177,"3","BLOC1S1",0.057
"B4GALT51",1.99076274728032e-08,0.625314697091068,0.119,0.08,0.000387840398425152,"3","B4GALT5",0.039
"CAP12",2.26030613126237e-08,0.337523804468098,0.439,0.387,0.000440352840492535,"3","CAP1",0.052
"GNAI21",2.45813014264253e-08,0.27569738163672,0.543,0.502,0.000478892914389618,"3","GNAI2",0.041
"CD2441",2.50893311418139e-08,0.729798826500217,0.096,0.062,0.000488790349304818,"3","CD244",0.034
"PTGER21",2.54768402250983e-08,0.677879187026065,0.101,0.065,0.000496339801265365,"3","PTGER2",0.036
"SEPT111",3.04351217394637e-08,0.572502415551708,0.178,0.132,0.000592937041728233,"3","SEPT11",0.046
"GTF2I1",3.53653282157867e-08,0.424053347425104,0.331,0.279,0.000688987324299956,"3","GTF2I",0.052
"PITPNM2",3.74528156448559e-08,1.02315776919081,0.038,0.018,0.000729655754393083,"3","PITPNM2",0.02
"ARF11",3.83014653486945e-08,0.375954970724205,0.388,0.338,0.000746189147923266,"3","ARF1",0.05
"PDCL3",4.01903326081995e-08,0.506426306303063,0.223,0.173,0.000782988059872942,"3","PDCL3",0.05
"AMZ1",4.48789249971085e-08,1.60737062321238,0.018,0.006,0.000874331216793668,"3","AMZ1",0.012
"SSH11",4.57993696069901e-08,0.713613398759279,0.117,0.079,0.000892263318683381,"3","SSH1",0.038
"MYL12B2",4.90783557690461e-08,0.184819918416898,0.741,0.693,0.000956144527092555,"3","MYL12B",0.048
"KIFC3",4.91987625198139e-08,1.36353426355777,0.026,0.011,0.000958490291411014,"3","KIFC3",0.015
"ADGRG3",5.34848346370342e-08,1.7927114106544,0.02,0.007,0.0010419915483987,"3","ADGRG3",0.013
"EIF3A",5.40186180595789e-08,0.344363894532707,0.469,0.425,0.00105239071703672,"3","EIF3A",0.044
"LINC021951",5.44421754040505e-08,0.750239982965012,0.059,0.033,0.00106064246122171,"3","LINC02195",0.026
"ILDR2",5.46778305971382e-08,1.7228067528419,0.015,0.005,0.00106523349569345,"3","ILDR2",0.01
"AGAP1",5.66503688140933e-08,1.39384988798524,0.022,0.009,0.00110366248523617,"3","AGAP1",0.013
"UQCRQ",6.33854574972771e-08,0.424931916165639,0.334,0.284,0.00123487548296195,"3","UQCRQ",0.05
"CST3",6.38802349528914e-08,0.73021375173773,0.046,0.024,0.00124451473735223,"3","CST3",0.022
"DCN",6.50314314269895e-08,1.19813599835941,0.023,0.009,0.00126694234706061,"3","DCN",0.014
"IKZF21",6.72326697860042e-08,0.463638561582004,0.194,0.146,0.00130982687277093,"3","IKZF2",0.048
"MXRA5",6.72612789904708e-08,1.80672280315076,0.013,0.003,0.00131038423729235,"3","MXRA5",0.01
"ELOB2",6.74787548966502e-08,0.266925062829406,0.517,0.474,0.00131462110289654,"3","ELOB",0.043
"ASS1",6.76282833967157e-08,1.77573511066708,0.013,0.004,0.00131753421713481,"3","ASS1",0.009
"ARPP191",7.4933315012312e-08,0.441343450007966,0.28,0.229,0.00145985084306986,"3","ARPP19",0.051
"ITPK1",7.95456761349101e-08,0.816706891723382,0.072,0.044,0.00154970886246032,"3","ITPK1",0.028
"GBP21",7.97150576057727e-08,0.361570782811292,0.367,0.313,0.00155300875227566,"3","GBP2",0.054
"GGA21",8.49565394743697e-08,0.616274165684722,0.181,0.137,0.00165512330203967,"3","GGA2",0.044
"DST",9.18748012423326e-08,1.58317391278173,0.018,0.006,0.00178990487780312,"3","DST",0.012
"TBK11",9.50276308681053e-08,0.512598534581414,0.158,0.115,0.00185132830457243,"3","TBK1",0.043
"FN1",1.02597197284016e-07,1.06467384946823,0.045,0.023,0.0019987985974872,"3","FN1",0.022
"PXK",1.0549716474549e-07,0.727847781270526,0.094,0.062,0.00205529576357163,"3","PXK",0.032
"TCF4",1.07555231565047e-07,1.20130327743809,0.026,0.011,0.00209539102135025,"3","TCF4",0.015
